label,config_label,mode,round_index,warmup,request_count,batch_delay_seconds,max_tokens,submit_concurrency,gpu_count,token_metric,interactivity_mode,succeeded,failed,submit_failed,submit_seconds,wall_seconds,service_window_seconds,prompt_tokens,completion_tokens,total_tokens,throughput_tok_s,throughput_tok_s_gpu,service_throughput_tok_s,service_throughput_tok_s_gpu,interactivity_tok_s_user_median,interactivity_tok_s_user_p50,interactivity_tok_s_user_p95,queue_seconds_p50,queue_seconds_p95,upstream_seconds_p50,upstream_seconds_p95,end_to_end_seconds_p50,end_to_end_seconds_p95
vllm_batch_n8_delay0_max1024_warmup1,vllm_batch_n8_delay0_max1024,vllm_batch,1,True,8,0.0,1024,32,8,completion,upstream,8,0,0,13.783677,13.783677,13.783634,512,8052,8564,584.1692372939888,73.0211546617486,584.1710460003703,73.02138075004629,73.02138075004629,73.02138075004629,73.05765565354855,0.0,0.0,13.783634185791016,13.783634185791016,13.783634185791016,13.783634185791016
vllm_batch_n8_delay0_max1024_round1,vllm_batch_n8_delay0_max1024,vllm_batch,1,False,8,0.0,1024,32,8,completion,upstream,8,0,0,11.871229,11.87123,11.871171,512,7904,8416,665.8113839282801,83.22642299103501,665.8146868227983,83.22683585284979,83.22683585284979,83.22683585284979,83.22683585284979,0.0,0.0,11.871170997619629,11.871170997619629,11.871170997619629,11.871170997619629
vllm_batch_n8_delay0_max1024_round2,vllm_batch_n8_delay0_max1024,vllm_batch,2,False,8,0.0,1024,32,8,completion,upstream,8,0,0,11.697202,11.697202,11.697146,512,7929,8441,677.8544152872569,84.73180191090711,677.8576483375816,84.7322060421977,84.72151967493296,84.72151967493296,84.77708878470966,0.0,0.0,11.69714617729187,11.69714617729187,11.69714617729187,11.69714617729187
vllm_batch_n8_delay0_max1024_round3,vllm_batch_n8_delay0_max1024,vllm_batch,3,False,8,0.0,1024,32,8,completion,upstream,8,0,0,12.332092,12.332092,12.332038,512,7898,8410,640.4428480391377,80.05535600489222,640.4456339558819,80.05570424448524,80.03543184533495,80.03543184533495,80.1165214419361,0.0,0.0,12.332038164138794,12.332038164138794,12.332038164138794,12.332038164138794
vllm_batch_n16_delay0_max1024_warmup1,vllm_batch_n16_delay0_max1024,vllm_batch,1,True,16,0.0,1024,32,8,completion,upstream,16,0,0,21.386782,21.386782,21.386722,1001,16189,17190,756.9628779256446,94.62035974070558,756.9650044531132,94.62062555663915,47.31907990033668,47.31907990033668,47.31907990033668,0.0,0.0,21.38672184944153,21.38672184944153,21.38672184944153,21.38672184944153
vllm_batch_n16_delay0_max1024_round1,vllm_batch_n16_delay0_max1024,vllm_batch,1,False,16,0.0,1024,32,8,completion,upstream,16,0,0,24.832974,24.832974,24.832923,1001,16175,17176,651.3517079334875,81.41896349168594,651.3530399432572,81.41912999290714,40.71208181654609,40.71208181654609,40.71208181654609,0.0,0.0,24.83292317390442,24.83292317390442,24.83292317390442,24.83292317390442
vllm_batch_n16_delay0_max1024_round2,vllm_batch_n16_delay0_max1024,vllm_batch,2,False,16,0.0,1024,32,8,completion,upstream,16,0,0,15.787127,15.787127,15.787071,1001,16200,17201,1026.152509038222,128.26906362977775,1026.156150856801,128.26951885710014,64.13475942855007,64.13475942855007,64.16643091468762,0.0,0.0,15.787070989608765,15.787070989608765,15.787070989608765,15.787070989608765
vllm_batch_n16_delay0_max1024_round3,vllm_batch_n16_delay0_max1024,vllm_batch,3,False,16,0.0,1024,32,8,completion,upstream,16,0,0,15.663852,15.663853,15.663804,1001,16175,17176,1032.6322537637657,129.0790317204707,1032.6355073243017,129.0794384155377,64.54370929860086,64.54370929860086,64.54370929860086,0.0,0.0,15.663803815841675,15.663803815841675,15.663803815841675,15.663803815841675
vllm_batch_n32_delay0_max1024_warmup1,vllm_batch_n32_delay0_max1024,vllm_batch,1,True,32,0.0,1024,32,8,completion,upstream,32,0,0,26.082409,26.08241,26.082321,2034,32564,34598,1248.5042669143359,156.06303336429198,1248.5085238072354,156.06356547590443,39.03026892383509,39.03026892383509,39.03026892383509,0.0,0.0,26.08232092857361,26.08232092857361,26.08232092857361,26.08232092857361
vllm_batch_n32_delay0_max1024_round1,vllm_batch_n32_delay0_max1024,vllm_batch,1,False,32,0.0,1024,32,8,completion,upstream,32,0,0,15.013735,15.013735,15.013492,2034,32672,34706,2176.1407402711625,272.0175925338953,2176.175954610579,272.0219943263224,68.0054985815806,68.0054985815806,68.0054985815806,0.0,0.0,15.013491868972778,15.013491868972778,15.013491868972778,15.013491868972778
vllm_batch_n32_delay0_max1024_round2,vllm_batch_n32_delay0_max1024,vllm_batch,2,False,32,0.0,1024,32,8,completion,upstream,32,0,0,16.116192,16.116192,16.116087,2034,32564,34598,2020.5765600849006,252.57207001061258,2020.5897424821032,252.5737178102629,63.16669812820235,63.16669812820235,63.166698128202356,0.0,0.0,16.116086959838867,16.116086959838867,16.116086959838867,16.116086959838867
