label,config_label,mode,round_index,warmup,request_count,batch_delay_seconds,max_tokens,submit_concurrency,arrival_pattern,arrival_rate_rps,arrival_burst,arrival_span_seconds,gpu_count,token_metric,interactivity_mode,succeeded,failed,submit_failed,failure_top_error,failure_top_error_count,failure_error_summary,submit_seconds,wall_seconds,service_window_seconds,submit_started_at,run_finished_at,service_started_at,service_finished_at,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,response_cached_prompt_tokens,metrics_prompt_tokens,metrics_completion_tokens,metrics_cached_prompt_tokens,metrics_prefix_cache_queries,metrics_prefix_cache_hits,metrics_local_compute_prompt_tokens,metrics_local_cache_hit_prompt_tokens,metrics_external_kv_transfer_prompt_tokens,cached_prompt_token_source,metrics_prefix_cache_hit_rate,throughput_tok_s,throughput_tok_s_gpu,service_throughput_tok_s,service_throughput_tok_s_gpu,interactivity_tok_s_user_median,interactivity_tok_s_user_p50,interactivity_tok_s_user_p95,queue_seconds_p50,queue_seconds_p95,upstream_seconds_p50,upstream_seconds_p95,end_to_end_seconds_p50,end_to_end_seconds_p95,uncached_input_tokens,billed_breakdown_tokens,input_token_ratio,output_token_ratio,cached_token_ratio,input_throughput_tok_s_gpu,output_throughput_tok_s_gpu,cached_throughput_tok_s_gpu,service_input_throughput_tok_s_gpu,service_output_throughput_tok_s_gpu,service_cached_throughput_tok_s_gpu,input_cost_usd,output_cost_usd,cached_cost_usd,estimated_cost_usd,input_cost_per_m,output_cost_per_m,cached_cost_per_m
vllm_batch_n64_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,19.156687,19.156687,19.156442,1783008489.622,1783008508.779,1783008489.622,1783008508.779,4045,65146,69191,0,0,4045,65146,0,4045,0,4045,0,0,none,0.0,3400.6924019647345,425.0865502455918,3400.735911627157,425.0919889533946,53.141392534252994,53.141392534252994,53.141392534252994,0.0,0.0,19.156441926956177,19.156441926956177,19.156441926956177,19.156441926956177,4045,69191,0.05846136058157853,0.9415386394184214,0.0,26.394177627842367,425.0865502455918,0.0,26.39451532429437,425.0919889533946,0.0,0.005663,0.2866424,0.0,0.2923054,1.4,4.4,0.26
vllm_batch_n64_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,20.051104,20.051104,20.050781,1783008509.461,1783008529.512,1783008509.461,1783008529.511,4045,64989,69034,0,0,4045,64989,0,4045,0,4045,0,0,none,0.0,3241.168194524582,405.14602431557273,3241.220377523552,405.152547190444,50.62146952848028,50.62146952848028,50.67134289747386,0.0,0.0,20.05078101158142,20.05078101158142,20.05078101158142,20.05078101158142,4045,69034,0.05859431584436654,0.9414056841556334,0.0,25.216816205149975,405.14602431557273,0.0,25.217222197377186,405.152547190444,0.0,0.005663,0.28595160000000003,0.0,0.2916146,1.4,4.4,0.26
vllm_batch_n64_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,18.812914,18.812914,18.812665,1783008530.22,1783008549.032,1783008530.22,1783008549.032,4045,65166,69211,0,0,4045,65166,0,4045,0,4045,0,0,none,0.0,3463.8972125695186,432.9871515711898,3463.943043140578,432.99288039257226,54.112482244070655,54.112482244070655,54.165637924074645,0.0,0.0,18.81266498565674,18.81266498565674,18.81266498565674,18.81266498565674,4045,69211,0.058444466919998266,0.9415555330800017,0.0,26.876485101210182,432.9871515711898,0.0,26.876840702021834,432.99288039257226,0.0,0.005663,0.2867304,0.0,0.29239339999999997,1.4,4.4,0.26
vllm_batch_n64_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,19.08025,19.08025,19.080032,1783008549.714,1783008568.794,1783008549.714,1783008568.794,4045,65146,69191,0,0,4045,65146,0,4045,0,4045,0,0,none,0.0,3414.315845722159,426.78948071526986,3414.354840898039,426.7943551122549,53.354207902775364,53.354207902775364,53.354207902775364,0.0,0.0,19.080032110214233,19.080032110214233,19.080032110214233,19.080032110214233,4045,69191,0.05846136058157853,0.9415386394184214,0.0,26.499914798963353,426.78948071526986,0.0,26.500217456621606,426.7943551122549,0.0,0.005663,0.2866424,0.0,0.2923054,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,23.561412,23.561412,23.560939,1783008569.408,1783008592.97,1783008569.408,1783008592.969,8122,129497,137619,0,0,8122,129497,0,8122,0,8122,0,0,none,0.0,5496.147717404376,687.018464675547,5496.258005492941,687.0322506866177,42.9524475590852,42.9524475590852,42.9524475590852,0.0,0.0,23.560939073562622,23.560939073562622,23.560939073562622,23.560939073562622,8122,137619,0.059018013501042736,0.9409819864989573,0.0,43.0895230784867,687.018464675547,0.0,43.09038773158226,687.0322506866177,0.0,0.011370799999999999,0.5697868,0.0,0.5811576,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,25.812308,25.812308,25.812035,1783008593.724,1783008619.536,1783008593.724,1783008619.536,8122,129404,137526,0,0,8122,129404,0,8122,0,8122,0,0,none,0.0,5013.267346301147,626.6584182876434,5013.32036684822,626.6650458560275,39.16777604157175,39.16777604157175,39.16777604157175,0.0,0.0,25.812034845352173,25.812034845352173,25.812034845352173,25.812034845352173,8122,137526,0.059057923592629756,0.9409420764073703,0.0,39.332011941920186,626.6584182876434,0.0,39.332427919095664,626.6650458560275,0.0,0.011370799999999999,0.5693776,0.0,0.5807484,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,25.647855,25.647856,25.647307,1783008620.45,1783008646.097,1783008620.45,1783008646.097,8122,129426,137548,0,0,8122,129426,0,8122,0,8122,0,0,none,0.0,5046.269755051143,630.7837193813929,5046.377742704618,630.7972178380772,39.41934308310825,39.41934308310825,39.45833353126167,0.0,0.0,25.64730715751648,25.64730715751648,25.64730715751648,25.64730715751648,8122,137548,0.059048477622357286,0.9409515223776427,0.0,39.584205405526504,630.7837193813929,0.0,39.58505248776029,630.7972178380772,0.0,0.011370799999999999,0.5694744,0.0,0.5808452000000001,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,23.841876,23.841876,23.841614,1783008646.675,1783008670.517,1783008646.676,1783008670.517,8122,129514,137636,0,0,8122,129514,0,8122,0,8122,0,0,none,0.0,5432.206754082867,679.0258442603583,5432.266454645831,679.0333068307289,42.44679071066897,42.44679071066897,42.44679071066897,0.0,0.0,23.84161400794983,23.84161400794983,23.84161400794983,23.84161400794983,8122,137636,0.05901072393850446,0.9409892760614955,0.0,42.582638997194366,679.0258442603583,0.0,42.58310698518446,679.0333068307289,0.0,0.011370799999999999,0.5698616000000001,0.0,0.5812324000000001,1.4,4.4,0.26
vllm_batch_n192_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n192_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,192,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,192,0,0,,0,,27.684166,27.684166,27.6836,1783008671.293,1783008698.977,1783008671.293,1783008698.976,12176,195126,207302,0,0,12176,195126,0,12176,0,12176,0,0,none,0.0,7048.288914322501,881.0361142903126,7048.43295957957,881.0541199474462,36.70042888663142,36.70042888663142,36.73655135600803,0.0,0.0,27.683600187301636,27.683600187301636,27.683600187301636,27.683600187301636,12176,207302,0.058735564538692345,0.9412644354613077,0.0,54.97727482549146,881.0361142903126,0.0,54.97839839119392,881.0541199474462,0.0,0.017046399999999996,0.8585544,0.0,0.8756008000000001,1.4,4.4,0.26
vllm_batch_n192_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n192_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,192,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,192,0,0,,0,,29.644044,29.644044,29.643632,1783008700.114,1783008729.758,1783008700.115,1783008729.758,12176,194600,206776,0,0,12176,194600,0,12176,0,12176,0,0,none,0.0,6564.556406141407,820.5695507676759,6564.647640369534,820.5809550461918,34.2063345700653,34.2063345700653,34.2063345700653,0.0,0.0,29.643632173538208,29.643632173538208,29.643632173538208,29.643632173538208,12176,206776,0.0588849769799203,0.9411150230200797,0.0,51.34252235430227,820.5695507676759,0.0,51.343235912859356,820.5809550461918,0.0,0.017046399999999996,0.8562400000000001,0.0,0.8732864000000001,1.4,4.4,0.26
